Nama,Category,Place,Price,Rating,Comment,Link_gmaps,Images,
Penataran Agung Lempuyang Temple,Heritage and Culture,Karangasem,50000,4.4,5745,https://goo.gl/maps/yE4ANys7vWPCpkjNA,https://www.balitoursclub.net/wp-content/uploads/2017/10/Paket-Lempuyang-tour-Karangasem.jpg,
Kehen Temple,Heritage and Culture,Bangli,10000,4.6,568,https://goo.gl/maps/2s12FCVNMBEy9AGp7,https://www.kintamani.indonesia-tourism.com/images/kehen_temple.jpg,
Kebo Edan Temple,Heritage and Culture,Gianyar,0,4.7,137,https://goo.gl/maps/gkod1HpTihPEfPS18,https://img-asset-01.visitbali.id/TAhpycv-oT5sKWjWWxpSZIjut3pAaVWElzzPva13iRA/fill/650/450/no/0/aHR0cHM6Ly92aXNpdGJhbGkuaWQvaW1hZ2VzL2RhdGEvMjAxOS9TZXAvMTcvNWQ4MGE4MTU2NjY1ZmYxYjYuanBn.jpg,
Mengening Temple,Heritage and Culture,Gianyar,0,4.7,598,https://goo.gl/maps/DTPjQTYc7dw2qk158,https://media-cdn.tripadvisor.com/media/photo-s/14/f7/f9/c6/pura-mengening.jpg,
Pegulingan Temple,Heritage and Culture,Gianyar,0,4.6,60,https://goo.gl/maps/jms6eoUNkioE3MR36,https://ubud.id/wp-content/uploads/2020/07/Screen-Shot-2020-07-24-at-19.20.59.png,
Luhur Besikalung Temple,Heritage and Culture,Tabanan,0,4.7,146,https://goo.gl/maps/Dc1wHgqQCBtKZdyL6,https://www.kintamani.id/wp-content/uploads/ura-Luhur-Besi-Kalung-1.jpg,
Tebing Gunung Kawi Temple,Heritage and Culture,Gianyar,30000,4.7,49,https://goo.gl/maps/6V36x28MQWxpjUn7A,https://2.bp.blogspot.com/-A4kNWsldgTE/W4-e6fgZlzI/AAAAAAAAPW8/uj-N0LTkVvMf-xe5UmQiYjpmcaM3ZiQggCLcBGAs/s1600/0_IMG-20180712-WA0028.jpg,
Elephant Cava,Heritage and Culture,Gianyar,30000,4.2,6379,https://g.page/goa-gajah?share,https://balicheapesttours.com/dummy/goa-gajah1.jpg,
Dasar Buana Gelgel Temple,Heritage and Culture,Klungkung,0,4.7,610,https://goo.gl/maps/1kP1TaNVS5ysS5W58,https://panbelog.files.wordpress.com/2014/11/pura-dasar-bhuwana.jpg?w=640,
Subak Pulagan,Heritage and Culture,Gianyar,0,4.5,151,https://goo.gl/maps/zNf6ZDEpCe498urr7,https://img.okezone.com/content/2017/08/13/406/1755229/subak-pulagan-warisan-era-keemasan-prabu-udayana-yang-keramat-pK9IY1q3vj.jpg,
Puri Agung Jro Kuta,Heritage and Culture,Denpasar,0,4.6,329,https://goo.gl/maps/UWs3nx35MPbvn3eS6,http://3.bp.blogspot.com/-dTf2H3wcJXc/VTcPT9GTF9I/AAAAAAAAAAk/o6md9rXwIMM/s1600/1.jpg,
Penglipuran Village,Heritage and Culture,Bangli,25000,4.8,9693,https://goo.gl/maps/N4V3iVpFmGHWJDWN6,https://www.indonesia.travel/content/dam/indtravelrevamp/en/trip-ideas/experience-a-traditional-living-atmosphere-at-penglipuran-village-bali/image-1.jpg,
